date,LineItem,quantity,price,discounts,netTotal,purchaseNumber,daysSinceLastPurch,quantity_364,price_364,discounts_364,netTotal_364,quantity_28,price_28,discounts_28,netTotal_28,quantity_7,price_7,discounts_7,netTotal_7
2018-01-15,Beef and Broccoli Stir Fry,15,10,0,150,4.928571428571429,35838.71428571428,10,10,0,98,10,10,0,100,6,10,0,61
2018-01-15,Beef and Squash Kabob,35,7,0,290,2.03125,68787.28125,26,7,0,219,18,7,0,156,43,7,0,367
2018-01-15,Chicken and Onion Kabob,42,10,0,465,9.45,57561.575,45,10,0,487,26,10,0,280,47,10,1,506
2018-01-15,Chutney,16,2,0,48,2.3333333333333335,73379,10,2,0,27,15,2,0,34,16,2,0,47
2018-01-15,Coconut and Beef Vindaloo,9,4,0,32,2,50024.833333333336,13,4,0,42,5,4,0,18,9,4,0,32
2018-01-15,Fountain Drink,22,2,0,44,3.55,60078.15,41,2,0,81,33,2,0,60,19,2,0,38
2018-01-15,Lamb and Veggie Kabob,12,8,0,113,3.4166666666666665,50071.416666666664,9,8,1,75,5,8,0,45,6,8,0,57
2018-01-15,Lamb Chops,16,10,1,195,2.1,60063.8,17,9,0,151,15,9,0,131,5,26,0,132
2018-01-15,Naan,10,2,0,36,4.555555555555555,55574.77777777778,16,2,0,38,18,2,0,44,12,2,0,42
2018-01-15,Rice,13,2,0,46,2.8333333333333335,58389.333333333336,21,2,0,60,13,2,0,34,17,2,0,55
2018-01-15,Salmon and Wheat Bran Salad,62,13,2,752,3.5660377358490565,54794.35849056604,93,13,0,1194,63,14,0,841,61,14,0,842
2018-01-15,Yogurt,19,3,0,89,1.9375,56273.8125,33,3,0,149,27,3,0,93,26,3,0,134
2018-01-16,Aubergine and Chickpea Vindaloo,7,4,0,24,1.5,50002,9,4,0,32,6,4,0,21,6,4,0,21
2018-01-16,Beef and Apple Burgers,30,10,1,256,2.4,53369.1,24,12,1,263,17,12,0,210,24,15,2,309
2018-01-16,Beef and Broccoli,9,5,0,42,9,44489.11111111111,14,18,0,246,17,12,0,198,11,6,1,62
2018-01-16,Beef and Broccoli Stir Fry,14,10,0,140,1.7272727272727273,63646.27272727273,8,10,0,80,13,10,0,130,9,10,0,92
2018-01-16,Beef and Squash Kabob,37,7,1,280,1.7941176470588236,61830.41176470588,22,7,1,169,32,7,0,280,20,7,1,142
2018-01-16,Chicken and Onion Kabob,47,10,1,505,9.804878048780488,43981.53658536585,34,10,1,351,41,10,0,448,25,10,1,261
2018-01-16,Chutney,11,2,0,23,6.333333333333333,66711.77777777778,8,2,0,19,9,2,0,22,16,2,0,32
2018-01-16,Coconut and Beef Vindaloo,18,4,0,62,2.0714285714285716,57215.357142857145,6,4,0,21,7,4,0,24,0,0,0,0
2018-01-16,Fountain Drink,32,2,0,63,6.615384615384615,34678.57692307692,22,2,0,42,34,2,0,68,31,2,0,58
2018-01-16,Lamb and Veggie Kabob,14,8,1,124,2.5714285714285716,57150.21428571428,11,8,4,58,5,8,0,48,6,8,1,48
2018-01-16,Lamb Chops,14,7,1,89,3.7857142857142856,28736.785714285714,11,7,3,43,17,12,0,212,13,8,0,103
2018-01-16,Naan,14,2,0,29,6.285714285714286,42904.642857142855,12,2,0,24,11,2,0,30,17,2,0,36
2018-01-16,Rice,12,2,0,23,4.454545454545454,63768,8,2,0,16,17,2,0,56,8,2,0,16
2018-01-16,Salmon and Wheat Bran Salad,94,11,0,976,6.9361702127659575,47947.382978723406,84,11,0,997,83,13,0,1088,72,12,1,836
2018-01-16,Yogurt,39,3,0,136,2.1818181818181817,51566.72727272727,25,3,0,94,31,3,0,116,21,3,0,69
2018-01-17,Aubergine and Chickpea Vindaloo,3,4,0,10,1.6666666666666667,66712,8,4,0,28,5,4,0,18,1,4,0,4
2018-01-17,Beef and Apple Burgers,19,14,2,220,13.68421052631579,52707.89473684211,20,15,1,277,32,14,0,442,24,10,1,217
2018-01-17,Beef and Broccoli,7,7,1,41,32.857142857142854,28795.714285714286,11,13,0,148,19,9,0,153,31,7,2,188
2018-01-17,Beef and Broccoli Stir Fry,11,10,0,110,21.636363636363637,72736.27272727272,9,10,0,89,14,10,0,140,11,10,0,110
2018-01-17,Beef and Squash Kabob,13,7,0,111,1.5384615384615385,69283.15384615384,26,7,0,218,38,7,0,334,20,7,0,169
2018-01-17,Chicken and Onion Kabob,33,10,0,369,2.8125,75048,59,10,1,613,50,10,0,559,41,10,1,439
2018-01-17,Chutney,5,2,0,8,6.4,60262.2,16,2,0,54,22,2,0,54,13,2,1,42
2018-01-17,Coconut and Beef Vindaloo,5,4,0,18,4,20320,15,4,0,52,0,0,0,0,6,4,1,18
2018-01-17,Fountain Drink,16,2,0,27,4.571428571428571,50116.57142857143,45,2,0,88,40,2,0,79,21,2,0,40
2018-01-17,Lamb and Veggie Kabob,4,8,5,19,1,99999,4,8,1,36,10,8,0,90,5,8,2,39
2018-01-17,Lamb Chops,10,8,0,83,3.5,70138.3,23,10,0,227,18,8,0,134,10,7,0,74
2018-01-17,Naan,6,2,0,14,2.1666666666666665,33448.333333333336,18,2,0,58,17,2,0,37,15,2,0,32
2018-01-17,Rice,5,2,0,12,1.6,80005.6,17,2,0,64,16,2,0,42,7,2,0,14
2018-01-17,Salmon and Wheat Bran Salad,51,12,1,573,8.020408163265307,42952.755102040814,89,13,0,1173,110,13,0,1396,83,12,1,866
2018-01-17,Yogurt,24,3,0,91,1.9130434782608696,47965.086956521736,32,3,0,127,28,3,0,122,32,3,0,128
2018-01-18,Aubergine and Chickpea Vindaloo,8,4,0,27,5,66682.66666666667,8,4,0,27,19,4,0,66,13,4,0,42
2018-01-18,Beef and Apple Burgers,21,13,0,261,3.2857142857142856,43012.28571428572,13,12,1,142,30,16,1,447,33,13,1,387
2018-01-18,Beef and Broccoli,20,7,0,131,3.05,45076.2,9,6,0,58,33,10,3,266,17,21,0,350
